subjective	7000	0	15	Alles wieder ok	7000-subjective2	Positive	Related
aspect	7000	21	27	Update	7000-aspect1	Neutral	Related
subjective	7000	28	40	funktioniert	7000-subjective1	Positive	Related
subjective	7001	0	10	Echt super	7001-subjective5	Positive	Related
subjective	7001	15	22	Schönes	7001-subjective4	Positive	Related
subjective	7001	38	51	einzigartiges	7001-subjective3	Positive	Related
aspect	7001	52	61	interface	7001-aspect2	Neutral	Related
subjective	7001	63	78	wirklich klasse	7001-subjective2	Positive	Related
subjective	7001	80	90	Schön wäre	7001-subjective1	Negative	Related
aspect	7001	113	135	lieder als klingeltöne	7001-aspect1	Neutral	Foreign
subjective	7003	17	32	Einfach nur top	7003-subjective1	Positive	Related
subjective	7004	0	5	Super	7004-subjective2	Positive	Related
subjective	7004	15	21	ändert	7004-subjective1	Negative	Related
aspect	7004	22	42	klingeltonlautstärke	7004-aspect1	Neutral	Related
subjective	7005	10	28	Wirklich gelungene	7005-subjective2	Positive	Related
aspect	7005	29	32	app	7005-aspect1	Neutral	Related
subjective	7005	34	42	tadellos	7005-subjective1	Positive	Related
subjective	7006	0	11	Sehr schöne	7006-subjective2	Positive	Related
aspect	7006	12	14	UI	7006-aspect2	Neutral	Related
aspect	7006	19	24	Optik	7006-aspect1	Neutral	Related
subjective	7006	36	65	Bereicherung auf voller Länge	7006-subjective1	Positive	Related
aspect	7007	0	13	Akkuverbrauch	7007-aspect3	Unknown	Related
subjective	7007	14	21	zu hoch	7007-subjective2	Negative	Related
aspect	7007	34	37	app	7007-aspect2	Neutral	Related
aspect	7007	57	61	akku	7007-aspect1	Neutral	Related
subjective	7007	75	99	in ein paar stunden leer	7007-subjective1	Negative	Related
subjective	7008	31	36	150MB	7008-subjective1	Negative	Related
aspect	7008	40	56	Hintergrunddaten	7008-aspect1	Neutral	Related
subjective	7010	0	7	Perfect	7010-subjective7	Positive	Related
subjective	7010	11	18	Endlich	7010-subjective6	Positive	Related
aspect	7010	35	41	update	7010-aspect7	Neutral	Related
subjective	7010	53	59	coolen	7010-subjective5	Positive	Related
aspect	7010	60	66	Wecker	7010-aspect6	Neutral	Related
aspect	7010	96	109	funktionierte	7010-aspect5	Neutral	Related
subjective	7010	113	123	nicht mehr	7010-subjective4	Negative	Related
subjective	7010	157	164	endlich	7010-subjective3	Positive	Related
aspect	7010	165	171	update	7010-aspect4	Neutral	Related
aspect	7010	182	187	läuft	7010-aspect3	Neutral	Related
subjective	7010	203	214	ohne Fehler	7010-subjective2	Positive	Related
aspect	7010	237	250	Sprachausgabe	7010-aspect2	Neutral	Related
aspect	7010	255	268	Wetter Ansage	7010-aspect1	Neutral	Related
subjective	7010	270	283	Einfach super	7010-subjective1	Positive	Related
subjective	7011	4	9	liebe	7011-subjective1	Positive	Related
aspect	7011	25	28	Uhr	7011-aspect2	Neutral	Related
aspect	7011	33	49	Wettervorhersage	7011-aspect1	Neutral	Related
subjective	7012	62	81	mich das Ding nicht	7012-subjective2	Negative	Related
aspect	7012	56	61	weckt	7012-aspect1	Neutral	Related
aspect	7012	37	43	Wecker	7012-aspect0	Neutral	Related
subjective	7012	18	36	Guter vielseitiger	7012-subjective1	Positive	Related
subjective	7012	0	14	Eigentlich gut	7012-subjective0	Positive	Related
subjective	7013	93	117	Werbescheiß eingeblendet	7013-subjective1	Negative	Related
subjective	7013	61	76	immer zufrieden	7013-subjective0	Positive	Related
aspect	7013	31	34	App	7013-aspect0	Unknown	Related
aspect	7014	172	197	Einbindung für Play Music	7014-aspect3	Neutral	Related
subjective	7014	161	171	gibt keine	7014-subjective3	Negative	Related
