subjective	0	0	5	Super	0-subjective1	Positive	Related
aspect	0	6	9	App	0-aspect1	Neutral	Related
subjective	1	0	9	Ganz okay	1-subjective2	Neutral	Related
aspect	1	33	36	app	1-aspect2	Neutral	Related
aspect	1	64	73	schreiben	1-aspect1	Neutral	Related
subjective	1	78	93	dafür langt sie	1-subjective1	Positive	Related
subjective	2	0	3	Gut	2-subjective1	Positive	Related
aspect	3	56	59	App	3-aspect1	Unknown	Related
subjective	3	71	76	super	3-subjective1	Positive	Related
subjective	4	0	6	Besser	4-subjective1	Positive	Related
aspect	4	11	20	Whats app	4-aspect1	Unknown	Related
subjective	5	0	8	Verkackt	5-subjective2	Negative	Related
aspect	5	28	33	skype	5-aspect1	Neutral	Related
aspect	6	0	8	Snapchat	6-aspect3	Unknown	Related
subjective	6	9	15	stockt	6-subjective6	Negative	Related
subjective	6	24	29	nervt	6-subjective5	Negative	Related
subjective	6	48	62	stockt ständig	6-subjective4	Negative	Related
aspect	6	72	77	snaps	6-aspect2	Neutral	Related
subjective	6	90	95	hängt	6-subjective3	Negative	Related
aspect	6	118	123	snaps	6-aspect1	Neutral	Related
subjective	7	0	10	Schlechtes	7-subjective2	Negative	Related
aspect	7	11	17	Update	7-aspect3	Neutral	Related
aspect	7	30	36	Update	7-aspect2	Neutral	Related
subjective	7	45	69	Kommunikationsgefühl weg	7-subjective1	Negative	Related
aspect	7	116	120	Snap	7-aspect1	Neutral	Related
subjective	8	0	4	Okay	8-subjective3	Neutral	Related
aspect	8	35	46	Nachrichten	8-aspect2	Neutral	Related
subjective	8	47	60	nicht zeitnah	8-subjective2	Negative	Related
aspect	8	79	88	Anwendung	8-aspect1	Neutral	Related
subjective	8	98	109	unbrauchbar	8-subjective1	Negative	Related
subjective	9	0	3	Top	9-subjective2	Positive	Related
subjective	9	46	56	Geht alles	9-subjective1	Positive	Related
subjective	10	7	25	langsam enttäuscht	10-subjective6	Negative	Related
aspect	10	38	46	snapchat	10-aspect2	Neutral	Related
subjective	10	47	59	echt geliebt	10-subjective5	Positive	Related
subjective	10	89	102	lieblingsapps	10-subjective4	Positive	Related
aspect	10	128	134	Update	10-aspect1	Neutral	Related
subjective	10	135	163	stürzt sie die ganze Zeit ab	10-subjective3	Negative	Related
subjective	10	232	234	😰	10-subjective2	Negative	Related
subjective	10	235	255	Bitte sofort beheben	10-subjective1	Negative	Related
aspect	11	16	25	versenden	11-aspect1	Unknown	Related
subjective	11	26	37	hängt alles	11-subjective2	Negative	Related
