subjective	10000	61	102	BLLLLLLLLLLLLLLLÖÖÖÖÖÖÖÖÖÖÖÖÖDDDDDDDDDDDD	10000-subjective1	Negative	Related
subjective	10001	0	4	Cool	10001-subjective2	Positive	Related
subjective	10001	8	12	Cool	10001-subjective1	Positive	Related
subjective	10002	0	4	Cool	10002-subjective4	Positive	Related
subjective	10002	5	9	Cool	10002-subjective3	Positive	Related
subjective	10002	24	38	keine probleme	10002-subjective2	Positive	Related
subjective	10002	46	51	super	10002-subjective1	Positive	Related
aspect	10002	52	55	app	10002-aspect1	Neutral	Related
subjective	10003	0	3	Gut	10003-subjective2	Positive	Related
subjective	10003	14	18	gute	10003-subjective1	Positive	Related
aspect	10003	19	27	Qualität	10003-aspect1	Neutral	Related
subjective	10005	0	11	Eifach geil	10005-subjective1	Positive	Related
subjective	10006	44	63	was soll der scheiß	10006-subjective1	Negative	Related
aspect	10007	0	9	Anmeldung	10007-aspect1	Unknown	Related
subjective	10007	10	23	nicht möglich	10007-subjective1	Negative	Related
subjective	10008	0	8	Schlecht	10008-subjective3	Negative	Related
subjective	10008	19	32	Ganze zeit ab	10008-subjective2	Negative	Related
subjective	10008	49	55	scheiß	10008-subjective1	Negative	Related
aspect	10009	0	8	Facebook	10009-aspect3	Unknown	Related
aspect	10009	15	27	Funktioniert	10009-aspect2	Unknown	Related
subjective	10009	35	46	garnix mehr	10009-subjective3	Negative	Related
aspect	10009	56	62	Update	10009-aspect1	Neutral	Related
subjective	10009	66	82	Richtig schlecht	10009-subjective2	Negative	Related
subjective	10009	84	97	Daumen runter	10009-subjective1	Negative	Related
aspect	10010	20	27	Version	10010-aspect2	Unknown	Related
aspect	10010	66	84	Facebookverbindung	10010-aspect1	Neutral	Related
subjective	10011	0	12	Mega chillig	10011-subjective1	Positive	Related
subjective	10012	116	135	kommt es schwarz an	10012-subjective2	Negative	Related
aspect	10012	77	97	Bild von der Galerie	10012-aspect1	Neutral	Related
subjective	10012	30	58	kommt die stimme in Zeitlupe	10012-subjective1	Negative	Related
aspect	10012	17	23	Videos	10012-aspect0	Neutral	Related
subjective	10012	0	4	Naja	10012-subjective0	Neutral	Related
subjective	10013	7	12	fehlt	10013-subjective0	Negative	Related
aspect	10013	0	6	App2sd	10013-aspect0	Unknown	Related
subjective	10014	67	94	können nicht geladen werden	10014-subjective2	Negative	Related
aspect	10014	55	66	neuigkeiten	10014-aspect2	Neutral	Related
subjective	10014	43	54	fehlerhaft .	10014-subjective1	Negative	Related
aspect	10014	32	38	update	10014-aspect1	Neutral	Related
subjective	10014	7	17	fehlerhaft	10014-subjective0	Negative	Related
