subjective	8000	0	3	Gut	8000-subjective1	Positive	Related
aspect	8001	0	15	Material Design	8001-aspect1	Unknown	Foreign
subjective	8001	16	21	fehlt	8001-subjective1	Negative	Related
subjective	8002	0	11	Einfach gut	8002-subjective1	Positive	Related
subjective	8003	0	12	Hervorragend	8003-subjective1	Positive	Related
subjective	8004	11	14	top	8004-subjective3	Positive	Related
aspect	8004	54	57	app	8004-aspect1	Neutral	Related
subjective	8004	58	73	geht nicht mehr	8004-subjective1	Negative	Related
subjective	8005	12	33	etwas unübersichtlich	8005-subjective3	Negative	Related
subjective	8005	41	43	OK	8005-subjective2	Positive	Related
subjective	8005	46	47	☺	8005-subjective1	Positive	Related
subjective	8006	0	5	Super	8006-subjective1	Positive	Related
aspect	8007	0	3	App	8007-aspect1	Unknown	Related
subjective	8007	7	12	Super	8007-subjective1	Positive	Related
aspect	8008	147	154	Updates	8008-aspect2	Unknown	Related
subjective	8008	161	166	super	8008-subjective4	Positive	Related
subjective	8008	171	184	sehr sinnvoll	8008-subjective3	Positive	Related
subjective	8008	196	205	weiter so	8008-subjective2	Positive	Related
subjective	8008	213	246	vielleicht noch drüber nachdenken	8008-subjective1	Negative	Related
aspect	8008	264	299	Toralarmtöne individuell einstellen	8008-aspect1	Neutral	Foreign
aspect	8009	17	31	Aktualisierung	8009-aspect1	Unknown	Related
subjective	8009	32	49	nur noch Scheisse	8009-subjective3	Negative	Related
subjective	8009	152	155	top	8009-subjective1	Positive	Related
aspect	8010	0	6	Update	8010-aspect3	Unknown	Related
aspect	8010	35	41	Update	8010-aspect2	Neutral	Related
subjective	8010	57	68	gescheitert	8010-subjective2	Negative	Related
aspect	8010	70	80	Paketdatei	8010-aspect1	Neutral	Related
subjective	8010	81	90	ungueltig	8010-subjective1	Negative	Related
subjective	8011	0	4	Geil	8011-subjective1	Positive	Related
subjective	8012	291	306	nicht überladen	8012-subjective11	Negative	Related
subjective	8012	282	289	schnell	8012-subjective10	Negative	Related
subjective	8012	267	280	keine Werbung	8012-subjective9	Negative	Related
aspect	8012	253	264	Sportstudio	8012-aspect4	Neutral	Foreign
subjective	8012	225	232	löschen	8012-subjective8	Negative	Related
aspect	8012	221	224	App	8012-aspect3	Neutral	Related
subjective	8012	184	210	zu schnell online gestellt	8012-subjective7	Negative	Related
subjective	8012	162	179	Schlecht getestet	8012-subjective6	Negative	Related
subjective	8012	142	155	dann Absturz ,	8012-subjective5	Negative	Related
aspect	8012	127	137	Ladezeiten	8012-aspect2	Neutral	Related
subjective	8012	121	126	lange	8012-subjective4	Negative	Related
aspect	8012	112	119	Werbung	8012-aspect1	Neutral	Related
subjective	8012	102	111	Jetzt nur	8012-subjective3	Negative	Related
subjective	8012	84	100	um längen besser	8012-subjective2	Negative	Related
aspect	8012	71	79	alte App	8012-aspect0	Neutral	Foreign
subjective	8012	51	64	echt übel ist	8012-subjective1	Negative	Related
subjective	8012	0	9	echt mies	8012-subjective0	Negative	Related
aspect	8013	87	92	App's	8013-aspect1	Neutral	Related
subjective	8013	71	82	einwandfrei	8013-subjective2	Positive	Related
aspect	8013	58	70	funktioniert	8013-aspect0	Neutral	Related
subjective	8013	11	39	Bin Zufrieden halt damit !!!	8013-subjective1	Positive	Related
subjective	8013	0	8	Ganz gut	8013-subjective0	Positive	Related
subjective	8014	81	97	Das ist schlecht	8014-subjective2	Negative	Related
aspect	8014	63	79	Benachrichtigung	8014-aspect2	Neutral	Related
subjective	8014	20	58	bekomme ich einfach nicht abgeschaltet	8014-subjective1	Negative	Related
aspect	8014	16	19	Ton	8014-aspect1	Neutral	Related
aspect	8014	4	6	Ap	8014-aspect0	Neutral	Related
subjective	8014	0	3	Top	8014-subjective0	Positive	Related
subjective	8015	179	194	Bitte ändern !!!	8015-subjective4	Negative	Related
subjective	8015	142	177	immer der falsche Bericht angezeigt	8015-subjective3	Negative	Related
aspect	8015	120	136	News Feed Widged	8015-aspect2	Neutral	Related
subjective	8015	90	102	total nervig	8015-subjective2	Negative	Related
aspect	8015	78	81	läd	8015-aspect1	Neutral	Related
subjective	8015	52	77	immer viiiiieeel zu lange	8015-subjective1	Negative	Related
aspect	8015	48	51	App	8015-aspect0	Neutral	Related
subjective	8015	0	16	Eigentlich super	8015-subjective0	Positive	Related
aspect	8016	6	9	App	8016-aspect0	Unknown	Related
subjective	8016	0	5	Tolle	8016-subjective0	Positive	Related
subjective	8017	50	70	nicht mehr öffnen !!!	8017-subjective0	Negative	Related
aspect	8017	42	49	artikel	8017-aspect2	Unknown	Related
aspect	8017	19	25	update	8017-aspect1	Unknown	Related
aspect	8017	0	6	update	8017-aspect0	Unknown	Related
subjective	8018	23	41	ohne Probleme !!!!	8018-subjective2	Positive	Related
subjective	8018	11	22	Super Sache	8018-subjective1	Positive	Related
subjective	8018	0	7	Tip Top	8018-subjective0	Positive	Related
subjective	8019	483	514	jedem Fußballfan empfehlen kann	8019-subjective4	Positive	Related
aspect	8019	470	473	App	8019-aspect3	Neutral	Related
subjective	8019	465	469	gute	8019-subjective3	Positive	Related
aspect	8019	412	440	Aufstellungen mit anzuzeigen	8019-aspect5	Neutral	Related
subjective	8019	322	353	Einziger Verbesserungsvorschlag	8019-subjective5	Negative	Related
subjective	8019	240	256	sinnvolle Option	8019-subjective2	Positive	Related
aspect	8019	202	229	Tormeldungen auszuschließen	8019-aspect4	Neutral	Foreign
subjective	8019	142	154	sensationell	8019-subjective1	Positive	Related
aspect	8019	134	137	App	8019-aspect1	Neutral	Related
aspect	8019	116	129	Hauptfunktion	8019-aspect2	Neutral	Related
aspect	8019	75	81	meldet	8019-aspect0	Neutral	Related
subjective	8019	64	74	so schnell	8019-subjective0	Positive	Related
subjective	8020	0	5	Super	8020-subjective0	Positive	Related
subjective	8021	10	33	Ein wenig unkomfortabel	8021-subjective1	Negative	Related
subjective	8021	0	8	Ganz gut	8021-subjective0	Positive	Related
subjective	8022	0	5	Hamma	8022-subjective0	Positive	Related
subjective	8023	7	12	Super	8023-subjective1	Positive	Related
subjective	8023	0	3	Top	8023-subjective0	Positive	Related
subjective	8024	0	4	Geil	8024-subjective1	Positive	Related
subjective	8025	0	4	Cool	8025-subjective1	Positive	Related
subjective	8026	0	23	Jedes mal stürzt das ab	8026-subjective1	Negative	Related
subjective	8027	0	3	Top	8027-subjective2	Positive	Related
aspect	8027	8	35	Automatische Aktualisierung	8027-aspect1	Neutral	Related
subjective	8027	50	63	wäre noch gut	8027-subjective1	Positive	Related
subjective	8028	0	3	Top	8028-subjective2	Positive	Related
subjective	8028	15	28	genau richtig	8028-subjective1	Positive	Related
subjective	8029	0	10	Ladefehler	8029-subjective3	Negative	Related
subjective	8029	58	70	richtig gute	8029-subjective2	Positive	Related
aspect	8029	71	74	App	8029-aspect2	Neutral	Related
aspect	8029	103	109	update	8029-aspect1	Neutral	Related
subjective	8029	114	127	nix geht mehr	8029-subjective1	Negative	Related
subjective	8030	0	5	Super	8030-subjective2	Positive	Related
aspect	8030	6	9	app	8030-aspect3	Neutral	Related
subjective	8030	13	22	Sehr gute	8030-subjective1	Positive	Related
aspect	8030	23	26	app	8030-aspect2	Unknown	Related
aspect	8030	27	38	live ticker	8030-aspect1	Neutral	Related
subjective	8031	6	44	Schlecht ist sie net aber gut auch net	8031-subjective1	Neutral	Related
subjective	8032	0	5	Beste	8032-subjective1	Positive	Related
aspect	8032	6	12	Ticker	8032-aspect1	Neutral	Related
aspect	8033	0	6	Widget	8033-aspect2	Unknown	Related
subjective	8033	7	12	fehlt	8033-subjective3	Negative	Related
subjective	8033	16	28	Alles supper	8033-subjective2	Positive	Related
subjective	8033	31	43	leider fehlt	8033-subjective1	Negative	Related
aspect	8033	61	67	Widget	8033-aspect1	Neutral	Related
subjective	8034	0	3	Top	8034-subjective1	Positive	Related
subjective	8035	0	13	Unverzichtbar	8035-subjective1	Positive	Related
subjective	8036	144	170	Kann die APP nur empfehlen	8036-subjective4	Positive	Related
subjective	8036	121	142	Alles was man braucht	8036-subjective3	Positive	Related
aspect	8036	79	88	Überblick	8036-aspect1	Neutral	Related
subjective	8036	73	78	guten	8036-subjective2	Positive	Related
subjective	8036	22	40	Macht was sie soll	8036-subjective0	Neutral	Related
aspect	8036	7	18	Fußball-App	8036-aspect0	Neutral	Related
subjective	8036	0	6	Klasse	8036-subjective1	Positive	Related
subjective	8037	9	33	1 Stern ist noch zu viel	8037-subjective1	Negative	Related
subjective	8037	0	5	Dreck	8037-subjective0	Negative	Related
subjective	8038	0	3	Top	8038-subjective0	Positive	Related
aspect	8039	131	134	App	8039-aspect4	Neutral	Related
aspect	8039	87	98	performance	8039-aspect3	Neutral	Related
aspect	8039	69	72	App	8039-aspect2	Neutral	Related
subjective	8039	64	68	gute	8039-subjective2	Positive	Related
subjective	8039	39	55	um Welten besser	8039-subjective1	Positive	Related
aspect	8039	32	38	iPhone	8039-aspect1	Neutral	Related
subjective	8039	8	22	extrem langsam	8039-subjective0	Negative	Related
aspect	8039	4	7	dhd	8039-aspect0	Unknown	Related
aspect	8041	39	49	Bluescreen	8041-aspect2	Neutral	Related
aspect	8041	28	38	Liveticker	8041-aspect0	Unknown	Related
subjective	8041	14	22	Sehr oft	8041-subjective0	Negative	Related
aspect	8041	0	10	Bluescreen	8041-aspect1	Unknown	Related
subjective	8042	12	23	Sehr schade	8042-subjective0	Negative	Related
subjective	8043	100	122	viel unübersichtlicher	8043-subjective2	Negative	Related
aspect	8043	83	88	laden	8043-aspect2	Neutral	Related
subjective	8043	59	77	dauert viel länger	8043-subjective3	Negative	Related
subjective	8043	47	55	schlecht	8043-subjective1	Negative	Related
aspect	8043	33	39	update	8043-aspect1	Neutral	Related
subjective	8043	15	20	dreck	8043-subjective0	Negative	Related
aspect	8043	5	11	update	8043-aspect0	Unknown	Related
subjective	8044	7	10	gut	8044-subjective1	Positive	Related
subjective	8044	0	3	gut	8044-subjective0	Positive	Related
aspect	8045	111	117	design	8045-aspect0	Neutral	Related
subjective	8045	107	110	top	8045-subjective1	Positive	Related
aspect	8045	95	101	Update	8045-aspect2	Neutral	Related
aspect	8045	72	81	Überblick	8045-aspect1	Neutral	Related
subjective	8045	66	71	guten	8045-subjective2	Positive	Related
subjective	8045	0	3	Top	8045-subjective0	Positive	Related
aspect	8046	122	132	Bildschirm	8046-aspect2	Neutral	Related
aspect	8046	59	66	HTC DHD	8046-aspect3	Neutral	Related
aspect	8046	30	36	Update	8046-aspect1	Neutral	Related
aspect	8046	11	17	Update	8046-aspect0	Neutral	Related
subjective	8046	0	10	Kein gutes	8046-subjective0	Negative	Related
subjective	8047	15	21	Klasse	8047-subjective0	Positive	Related
aspect	8047	0	11	Onefootball	8047-aspect0	Unknown	Related
subjective	8048	12	24	totaler Müll	8048-subjective1	Negative	Related
subjective	8048	0	8	schlecht	8048-subjective0	Negative	Related
subjective	8049	0	3	;-)	8049-subjective0	Positive	Related
subjective	8050	0	6	Klasse	8050-subjective0	Positive	Related
aspect	8051	28	45	Berichterstattung	8051-aspect0	Unknown	Related
subjective	8051	10	27	sehr erfrischende	8051-subjective0	Positive	Related
subjective	8052	149	169	ich empfehle es euch	8052-subjective2	Positive	Related
subjective	8052	98	100	:(	8052-subjective3	Negative	Related
subjective	8052	91	98	langsam	8052-subjective1	Negative	Related
aspect	8052	84	87	läd	8052-aspect0	Neutral	Related
subjective	8052	7	10	gut	8052-subjective0	Positive	Related
subjective	8053	0	8	Ganz gut	8053-subjective0	Positive	Related
aspect	8054	71	95	Samsung Galaxy Note Edge	8054-aspect0	Unknown	Related
aspect	8054	30	36	update	8054-aspect1	Neutral	Related
subjective	8054	0	6	Schade	8054-subjective0	Negative	Related
aspect	8055	345	352	Werbung	8055-aspect8	Neutral	Related
