aspect	3000	49	55	Update	3000-aspect2	Unknown	Related
subjective	3000	96	109	nicht flüssig	3000-subjective3	Negative	Related
aspect	3000	115	121	Design	3000-aspect1	Neutral	Related
subjective	3000	139	155	recht ansehnlich	3000-subjective2	Positive	Related
subjective	3000	160	178	nicht zu überladen	3000-subjective1	Positive	Related
subjective	3001	4	15	zuverlässig	3001-subjective1	Positive	Related
subjective	3002	0	16	Sehr zuverlässig	3002-subjective1	Positive	Related
subjective	3003	0	3	Gut	3003-subjective1	Positive	Related
aspect	3003	51	54	APP	3003-aspect1	Neutral	Related
subjective	3004	0	2	OK	3004-subjective2	Neutral	Related
subjective	3004	6	8	OK	3004-subjective1	Neutral	Related
aspect	3005	25	35	Wetter App	3005-aspect1	Unknown	Related
subjective	3005	36	44	sehr gut	3005-subjective1	Positive	Related
subjective	3006	0	5	Super	3006-subjective1	Positive	Related
aspect	3006	6	9	app	3006-aspect1	Unknown	Related
subjective	3007	0	3	Top	3007-subjective3	Positive	Related
aspect	3007	4	20	Wettervorhersage	3007-aspect1	Neutral	Related
subjective	3007	24	38	Empfehlenswert	3007-subjective2	Positive	Related
subjective	3007	40	44	Gute	3007-subjective1	Positive	Related
subjective	3008	0	5	Super	3008-subjective3	Positive	Related
subjective	3008	10	17	schnell	3008-subjective2	Positive	Related
subjective	3008	26	39	immer richtig	3008-subjective1	Positive	Related
subjective	3009	0	8	Sehr gut	3009-subjective2	Positive	Related
subjective	3009	46	58	sehr genauen	3009-subjective1	Positive	Related
aspect	3009	59	70	Vorhersagen	3009-aspect1	Neutral	Related
aspect	3010	0	6	Widget	3010-aspect4	Unknown	Related
subjective	3010	7	30	funktioniert nicht mehr	3010-subjective5	Negative	Related
subjective	3010	50	64	sehr zufrieden	3010-subjective4	Positive	Related
aspect	3010	73	76	App	3010-aspect3	Neutral	Related
aspect	3010	78	89	Vorhersagen	3010-aspect2	Neutral	Related
subjective	3010	90	107	stimmten meistens	3010-subjective3	Positive	Related
aspect	3010	132	138	Widget	3010-aspect1	Neutral	Related
subjective	3010	166	182	nichts angezeigt	3010-subjective2	Negative	Related
subjective	3010	230	258	Bitte Fehler schnell beheben	3010-subjective1	Negative	Related
subjective	3011	0	7	Geniale	3011-subjective2	Positive	Related
aspect	3011	8	11	App	3011-aspect1	Neutral	Related
subjective	3011	16	32	Sehr zuverlässig	3011-subjective1	Positive	Related
subjective	3012	0	8	Sehr gut	3012-subjective0	Positive	Related
aspect	3013	30	32	AP	3013-aspect1	Neutral	Related
subjective	3013	24	29	Super	3013-subjective1	Positive	Related
subjective	3013	11	23	passt immer !	3013-subjective0	Positive	Related
aspect	3013	0	10	Temperatur	3013-aspect0	Unknown	Related
aspect	3014	44	49	Werte	3014-aspect1	Unknown	Related
subjective	3014	23	43	Relativ zuverlässige	3014-subjective1	Positive	Related
aspect	3014	10	19	Bedienung	3014-aspect0	Neutral	Related
subjective	3014	0	9	Angenehme	3014-subjective0	Positive	Related
subjective	3016	87	92	Super	3016-subjective0	Positive	Related
subjective	3016	19	31	alles korekt	3016-subjective2	Positive	Related
subjective	3016	4	18	finde es super	3016-subjective1	Positive	Related
aspect	3017	115	136	Infos weltweit nutzen	3017-aspect3	Neutral	Foreign
subjective	3017	91	100	Wäre toll	3017-subjective3	Negative	Related
aspect	3017	79	89	Regenradar	3017-aspect2	Neutral	Related
subjective	3017	52	63	zuverlässig	3017-subjective2	Positive	Related
subjective	3017	40	47	schnell	3017-subjective1	Positive	Related
aspect	3017	29	34	Infos	3017-aspect1	Neutral	Related
aspect	3017	15	25	Wetter App	3017-aspect0	Neutral	Related
subjective	3017	0	5	Beste	3017-subjective0	Positive	Related
subjective	3018	0	18	Macht genau was es	3018-subjective0	Positive	Related
subjective	3019	119	132	fast treffend	3019-subjective3	Positive	Related
aspect	3019	102	113	Voraussagen	3019-aspect3	Neutral	Related
aspect	3019	78	91	Darstellungen	3019-aspect1	Neutral	Related
subjective	3019	65	77	Sehr schicke	3019-subjective1	Positive	Related
subjective	3019	46	63	alles einwandfrei	3019-subjective2	Positive	Related
aspect	3019	33	45	funktioniert	3019-aspect2	Neutral	Related
aspect	3019	6	16	Wetter app	3019-aspect0	Neutral	Related
subjective	3019	0	5	Super	3019-subjective0	Positive	Related
subjective	3020	72	83	Gefällt mir	3020-subjective3	Positive	Related
subjective	3020	55	70	Tut was es soll	3020-subjective2	Positive	Related
subjective	3020	23	53	ohne unnötiges Schnick-Schnack	3020-subjective1	Positive	Related
aspect	3020	12	22	Wetter App	3020-aspect0	Neutral	Related
subjective	3020	0	3	Gut	3020-subjective0	Positive	Related
subjective	3021	158	164	Schade	3021-subjective2	Negative	Related
subjective	3021	132	144	viel zu groß	3021-subjective3	Negative	Related
aspect	3021	116	126	Zoomfaktor	3021-aspect5	Neutral	Related
aspect	3021	104	110	Banner	3021-aspect4	Neutral	Related
aspect	3021	96	102	PopUps	3021-aspect3	Neutral	Related
subjective	3021	74	94	unbrauchbar geworden	3021-subjective1	Negative	Related
aspect	3021	70	73	App	3021-aspect2	Neutral	Related
aspect	3021	55	61	Update	3021-aspect1	Neutral	Related
subjective	3021	32	42	überflutet	3021-subjective0	Negative	Related
aspect	3021	24	31	Werbung	3021-aspect0	Unknown	Related
subjective	3022	0	5	Super	3022-subjective0	Positive	Related
subjective	3023	27	38	Fehler -505	3023-subjective0	Negative	Related
aspect	3023	0	6	Update	3023-aspect0	Unknown	Related
subjective	3024	0	6	Toller	3024-subjective2	Positive	Related
aspect	3024	7	13	Widget	3024-aspect2	Neutral	Related
aspect	3024	47	53	widget	3024-aspect1	Neutral	Related
subjective	3024	58	79	beste in seine klasse	3024-subjective1	Positive	Related
subjective	3025	0	8	Sehr gut	3025-subjective3	Positive	Related
subjective	3025	19	29	sehr genau	3025-subjective2	Positive	Related
subjective	3025	39	46	schnell	3025-subjective1	Positive	Related
subjective	3026	16	30	alles im Blick	3026-subjective1	Positive	Related
subjective	3027	0	7	perfekt	3027-subjective1	Positive	Related
subjective	3028	0	4	Gute	3028-subjective4	Positive	Related
aspect	3028	5	8	App	3028-aspect4	Neutral	Related
aspect	3028	31	34	APP	3028-aspect3	Neutral	Related
subjective	3028	71	76	prima	3028-subjective3	Positive	Related
aspect	3028	82	93	Darstellung	3028-aspect2	Neutral	Related
subjective	3028	106	114	ganz gut	3028-subjective2	Positive	Related
aspect	3028	123	133	Vorhersage	3028-aspect1	Neutral	Related
subjective	3028	134	152	trifft relativ oft	3028-subjective1	Positive	Related
aspect	3029	4	7	APP	3029-aspect2	Unknown	Related
subjective	3029	12	24	wirklich gut	3029-subjective3	Positive	Related
subjective	3029	29	37	nützlich	3029-subjective2	Positive	Related
aspect	3029	39	51	Funktioniert	3029-aspect1	Neutral	Related
subjective	3029	52	60	sehr gut	3029-subjective1	Positive	Related
subjective	3030	0	9	Schlechte	3030-subjective2	Negative	Related
aspect	3030	10	18	Funktion	3030-aspect2	Neutral	Related
subjective	3030	19	23	ohne	3030-subjective1	Negative	Related
aspect	3030	24	45	Einstellmöglichkeiten	3030-aspect1	Unknown	Related
aspect	3031	0	8	VORSCHAU	3031-aspect3	Unknown	Related
subjective	3031	9	26	AKTALISIERT NICHT	3031-subjective2	Negative	Related
aspect	3031	72	75	App	3031-aspect2	Neutral	Related
aspect	3031	153	159	Widget	3031-aspect1	Neutral	Related
subjective	3031	254	263	Nicht gut	3031-subjective1	Negative	Related
subjective	3033	0	4	Gute	3033-subjective3	Positive	Related
aspect	3033	5	8	app	3033-aspect3	Neutral	Related
aspect	3033	16	32	Wettervorhersage	3033-aspect2	Neutral	Related
subjective	3033	37	74	leider nicht immer zufrieden stellend	3033-subjective2	Negative	Related
subjective	3033	75	79	gute	3033-subjective1	Positive	Related
aspect	3033	80	89	Übersicht	3033-aspect1	Neutral	Related
aspect	3034	4	15	Wetterdaten	3034-aspect1	Unknown	Related
subjective	3034	21	51	selten auf dem aktuellen Stand	3034-subjective1	Negative	Related
subjective	3035	0	7	Bestens	3035-subjective4	Positive	Related
subjective	3035	11	24	Übersichtlich	3035-subjective3	Positive	Related
subjective	3035	25	33	Schnelle	3035-subjective2	Positive	Related
aspect	3035	34	45	Information	3035-aspect3	Neutral	Related
aspect	3035	46	56	Regenradar	3035-aspect2	Neutral	Related
aspect	3035	57	72	Unwetterwarnung	3035-aspect1	Neutral	Related
subjective	3035	73	90	Was will man mehr	3035-subjective1	Positive	Related
subjective	3036	74	89	schätzen gelern	3036-subjective1	Negative	Related
aspect	3036	63	73	meteoswiss	3036-aspect0	Neutral	Foreign
subjective	3036	4	25	endlich wieder besser	3036-subjective0	Positive	Related
subjective	3037	14	22	sehr gut	3037-subjective0	Positive	Related
aspect	3037	4	7	App	3037-aspect0	Unknown	Related
subjective	3039	143	154	unbrauchbar	3039-subjective1	Negative	Related
aspect	3039	43	56	alten version	3039-aspect2	Neutral	Related
aspect	3039	27	38	Quer format	3039-aspect1	Neutral	Related
subjective	3039	13	23	war besser	3039-subjective0	Negative	Related
aspect	3039	0	12	alte version	3039-aspect0	Unknown	Related
aspect	3040	77	80	App	3040-aspect1	Neutral	Related
subjective	3040	71	76	guter	3040-subjective3	Positive	Related
subjective	3040	35	48	stimmt zu 95%	3040-subjective2	Positive	Related
aspect	3040	26	34	Prognose	3040-aspect0	Neutral	Related
subjective	3040	20	22	4 *	3040-subjective1	Positive	Related
subjective	3040	0	11	Meist super	3040-subjective0	Positive	Related
aspect	3041	47	53	Wetter	3041-aspect1	Neutral	Related
aspect	3041	37	40	APP	3041-aspect0	Neutral	Related
subjective	3041	0	6	Spitze	3041-subjective0	Positive	Related
subjective	3042	116	123	1 Stern	3042-subjective2	Negative	Related
subjective	3042	89	105	Sorry geht nicht	3042-subjective1	Negative	Related
aspect	3042	58	87	14 Tägige voraus schau zahlen	3042-aspect1	Neutral	Related
aspect	3042	26	29	App	3042-aspect0	Neutral	Related
subjective	3042	0	7	Abzocke	3042-subjective0	Negative	Related
subjective	3043	136	146	zutreffend	3043-subjective4	Positive	Related
aspect	3043	123	130	Angaben	3043-aspect3	Neutral	Related
subjective	3043	106	117	zu begrüßen	3043-subjective3	Negative	Related
aspect	3043	77	96	dunkler Hintergrund	3043-aspect2	Neutral	Foreign
subjective	3043	57	72	wäre sinnvoller	3043-subjective2	Negative	Related
aspect	3043	46	56	Regenradar	3043-aspect1	Neutral	Foreign
subjective	3043	29	40	überflüssig	3043-subjective1	Negative	Related
aspect	3043	17	23	Videos	3043-aspect0	Neutral	Related
subjective	3043	0	8	Sehr Gut	3043-subjective0	Positive	Related
aspect	3044	44	55	sandart app	3044-aspect0	Neutral	Foreign
subjective	3044	28	35	genauer	3044-subjective2	Positive	Related
subjective	3044	16	26	Sehr genau	3044-subjective0	Positive	Related
subjective	3044	0	12	Hervorragend	3044-subjective1	Positive	Related
aspect	3045	66	75	verlassen	3045-aspect0	Unknown	Related
subjective	3045	48	58	fast immer	3045-subjective2	Positive	Related
subjective	3045	13	29	meist sehr genau	3045-subjective1	Positive	Related
subjective	3045	0	5	Super	3045-subjective0	Positive	Related
subjective	3046	17	46	könnte aber noch etwas besser	3046-subjective2	Negative	Related
subjective	3046	13	16	gut	3046-subjective1	Positive	Related
subjective	3046	0	5	Prima	3046-subjective0	Positive	Related
aspect	3047	55	78	sehe ich wann es regnet	3047-aspect0	Unknown	Related
subjective	3047	10	14	toll	3047-subjective0	Positive	Related
subjective	3048	0	5	Super	3048-subjective0	Positive	Related
subjective	3049	19	34	jeden Empfehlen	3049-subjective1	Positive	Related
aspect	3049	6	9	App	3049-aspect0	Neutral	Related
subjective	3049	0	5	Super	3049-subjective0	Positive	Related
aspect	3050	171	182	Vorhersagen	3050-aspect3	Neutral	Related
subjective	3050	163	170	genauen	3050-subjective3	Positive	Related
aspect	3050	155	158	App	3050-aspect2	Neutral	Related
subjective	3050	149	154	super	3050-subjective2	Positive	Related
subjective	3050	131	137	Schade	3050-subjective1	Negative	Related
aspect	3050	98	120	zusätzlich Geld kosten	3050-aspect4	Neutral	Related
aspect	3050	71	89	Niederschlagsradar	3050-aspect1	Neutral	Related
subjective	3050	24	34	Punktabzug	3050-subjective4	Negative	Related
aspect	3050	13	16	App	3050-aspect0	Neutral	Related
subjective	3050	0	12	Erstklassige	3050-subjective0	Positive	Related
subjective	3051	120	135	immer schlimmer	3051-subjective2	Negative	Related
subjective	3051	78	91	nicht richtig	3051-subjective1	Negative	Related
aspect	3051	53	65	funktioniert	3051-aspect0	Neutral	Related
subjective	3051	0	11	Katastrophe	3051-subjective0	Negative	Related
subjective	3052	0	3	Gut	3052-subjective0	Positive	Related
aspect	3053	5	9	Info	3053-aspect0	Neutral	Related
subjective	3053	0	4	Gute	3053-subjective0	Positive	Related
subjective	3054	12	21	weiter so	3054-subjective1	Positive	Related
subjective	3054	0	8	Tipp Top	3054-subjective0	Positive	Related
subjective	3055	37	41	toll	3055-subjective1	Positive	Related
aspect	3055	11	27	Sonderfunktionen	3055-aspect0	Neutral	Foreign
subjective	3055	0	10	Bitte mehr	3055-subjective0	Negative	Related
subjective	3056	106	110	toll	3056-subjective2	Negative	Related
aspect	3056	89	101	Aufbereitung	3056-aspect2	Neutral	Related
subjective	3056	49	78	entsprechen selten dem Wetter	3056-subjective1	Negative	Related
aspect	3056	37	48	Wetterdaten	3056-aspect1	Neutral	Related
aspect	3056	23	29	Wetter	3056-aspect0	Neutral	Related
subjective	3056	0	11	Nicht immer	3056-subjective0	Negative	Related
aspect	3057	25	35	Wetter App	3057-aspect0	Unknown	Related
subjective	3057	15	24	Sher gute	3057-subjective0	Positive	Related
subjective	3058	132	151	Sehr empfehlenswert	3058-subjective3	Positive	Related
aspect	3058	104	117	Informationen	3058-aspect5	Neutral	Related
subjective	3058	90	103	allen nötigen	3058-subjective2	Positive	Related
aspect	3058	68	81	konfigurieren	3058-aspect4	Neutral	Related
subjective	3058	61	64	Gut	3058-subjective1	Positive	Related
subjective	3058	46	59	ausgezeichnet	3058-subjective0	Positive	Related
aspect	3058	33	40	Service	3058-aspect3	Unknown	Related
aspect	3058	22	28	Dienst	3058-aspect0	Unknown	Related
aspect	3058	11	18	Service	3058-aspect2	Unknown	Related
aspect	3058	0	6	Dienst	3058-aspect1	Unknown	Related
subjective	3059	39	63	stimmen eigentlich immer	3059-subjective2	Positive	Related
aspect	3059	23	38	Wetterprognosen	3059-aspect0	Neutral	Related
subjective	3059	15	18	gut	3059-subjective1	Positive	Related
subjective	3059	0	7	Perfekt	3059-subjective0	Positive	Related
aspect	3060	37	40	APP	3060-aspect1	Neutral	Related
subjective	3060	30	36	Klasse	3060-subjective2	Positive	Related
aspect	3060	20	28	bedinung	3060-aspect0	Neutral	Related
subjective	3060	11	19	Einfache	3060-subjective1	Positive	Related
subjective	3060	0	6	Klasse	3060-subjective0	Positive	Related
subjective	3061	26	31	fehlt	3061-subjective1	Negative	Related
aspect	3061	19	25	widget	3061-aspect0	Neutral	Related
subjective	3061	0	13	Übersichtlich	3061-subjective0	Positive	Related
subjective	3062	108	110	👍	3062-subjective4	Positive	Related
subjective	3062	104	106	ok	3062-subjective3	Neutral	Related
aspect	3062	69	103	Darstellung der Niederschlagsarten	3062-aspect3	Neutral	Related
subjective	3062	58	67	brauchbar	3062-subjective2	Positive	Related
aspect	3062	43	52	Prognosen	3062-aspect2	Neutral	Related
subjective	3062	33	41	nützlich	3062-subjective1	Positive	Related
aspect	3062	25	28	App	3062-aspect1	Neutral	Related
aspect	3062	10	21	Darstellung	3062-aspect0	Neutral	Related
subjective	3062	0	9	Sehr gute	3062-subjective0	Positive	Related
subjective	3063	12	33	Gar nicht so schlecht	3063-subjective1	Positive	Related
subjective	3063	0	8	Respeckt	3063-subjective0	Positive	Related
aspect	3064	20	30	Wetter App	3064-aspect1	Neutral	Related
subjective	3064	14	19	beste	3064-subjective1	Positive	Related
aspect	3064	3	6	App	3064-aspect0	Neutral	Related
subjective	3064	0	2	1A	3064-subjective0	Positive	Related
aspect	3065	4	7	App	3065-aspect0	Unknown	Related
subjective	3065	0	3	Top	3065-subjective0	Positive	Related
subjective	3066	95	112	War vorher besser	3066-subjective1	Negative	Related
aspect	3066	71	83	Seitenformat	3066-aspect1	Neutral	Related
aspect	3066	39	45	Bilder	3066-aspect0	Neutral	Related
subjective	3066	0	16	Recht ordentlich	3066-subjective0	Positive	Related
aspect	3067	6	15	wetterapp	3067-aspect0	Unknown	Related
subjective	3067	0	5	Super	3067-subjective0	Positive	Related
subjective	3068	20	31	Top aktuell	3068-subjective0	Positive	Related
aspect	3068	0	10	Regenradar	3068-aspect0	Unknown	Related
aspect	3069	5	8	app	3069-aspect0	Neutral	Related
subjective	3069	0	4	Jute	3069-subjective0	Positive	Related
subjective	3070	57	60	Top	3070-subjective3	Positive	Related
subjective	3070	40	46	nur 4 *	3070-subjective2	Negative	Related
